X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-79.035728,35.932522,2019/06/24 03:03:00+00,22.39,21.79,20.75,19.11,16.18,14.04,14.13,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,22032,-77,2,,6098
-79.035728,35.932522,2019/06/24 03:03:00+00,22.39,21.79,20.75,19.11,16.18,14.04,14.13,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,22032,-77,2,,6099
-79.035728,35.932522,2019/06/24 03:03:00+00,22.39,21.79,20.75,19.11,16.18,14.04,14.13,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,22032,-77,2,,6100
-79.035728,35.932522,2019/06/24 03:03:00+00,22.39,21.79,20.75,19.11,16.18,14.04,14.13,80,58,1003.29,Chapel Hill Public Library,outside,35.932522,-79.035728,22032,-77,2,,6101
-79.035728,35.932522,2019/06/24 04:03:30+00,23.66,23.86,22.57,20.78,16.71,14.22,14.16,77,63,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,25662,-85,1,,6102
-79.035728,35.932522,2019/06/24 04:03:30+00,23.66,23.86,22.57,20.78,16.71,14.22,14.16,77,63,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,25662,-85,1,,6103
-79.035728,35.932522,2019/06/24 04:03:30+00,23.66,23.86,22.57,20.78,16.71,14.22,14.16,77,63,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,25662,-85,1,,6104
-79.035728,35.932522,2019/06/24 04:03:30+00,23.66,23.86,22.57,20.78,16.71,14.22,14.16,77,63,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,25662,-85,1,,6105
-79.035728,35.932522,2019/06/17 22:05:31+00,26.45,25.31,23.11,22.74,21.2,14.15,14.4,100,40,1002.61,Chapel Hill Public Library,outside,35.932522,-79.035728,10575,-82,0,,6106
-79.035728,35.932522,2019/06/20 14:03:00+00,21.69,19.4,16.57,15.05,12.27,13.01,14.2,93,49,994.67,Chapel Hill Public Library,outside,35.932522,-79.035728,2967,-82,2,,6107
-79.035728,35.932522,2019/06/24 04:03:30+00,23.66,23.86,22.57,20.78,16.71,14.22,14.16,77,63,1003.08,Chapel Hill Public Library,outside,35.932522,-79.035728,25662,-85,1,,6108
-79.035728,35.932522,2019/04/28 06:55:10+00,15.5,14.15,13.26,12.13,8.73,11.41,10.12,69,43,999.55,Chapel Hill Public Library,outside,35.932522,-79.035728,2800,-80,,9,6109
-79.035728,35.932522,2019/04/28 08:03:00+00,15.26,15.34,14.67,13.49,9.31,11.5,10.13,68,44,999.97,Chapel Hill Public Library,outside,35.932522,-79.035728,2280,31,,2,6110
-79.035728,35.932522,2019/04/28 09:02:28+00,16.23,15.87,15.45,14.5,9.9,11.6,10.15,68,48,1000.55,Chapel Hill Public Library,outside,35.932522,-79.035728,2820,-84,,2,6111
-79.035728,35.932522,2019/05/01 21:04:46+00,13.99,12.97,14.29,16.46,22.4,19.28,12.24,97,33,1009.75,Chapel Hill Public Library,outside,35.932522,-79.035728,4306,-83,,0,6112
-79.035728,35.932522,2019/04/28 10:03:53+00,16.89,16.93,16.31,15.43,10.51,11.72,10.17,66,54,1000.12,Chapel Hill Public Library,outside,35.932522,-79.035728,290,-87,,1,6113
-79.035728,35.932522,2019/04/28 11:04:01+00,15.8,16.8,16.65,15.98,10.98,11.82,10.19,66,55,1000.42,Chapel Hill Public Library,outside,35.932522,-79.035728,3890,31,,1,6114
-79.035728,35.932522,2019/04/28 12:01:29+00,17.87,16.36,16.49,16.11,11.33,11.9,10.21,70,50,1000.99,Chapel Hill Public Library,outside,35.932522,-79.035728,37,-87,,3,6115
-79.035728,35.932522,2019/05/01 23:03:31+00,20.04,26.19,26.36,23.81,23.45,19.63,12.31,91,39,1009.42,Chapel Hill Public Library,outside,35.932522,-79.035728,2230,-85,,1,6116
